Banque;Ville;Nom Agence;Localisation;Note;Avis;Date Avis
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Malheureusement, un groupe de jeunes agents qui ont envie bien faire ont à leur tête un chef d'agence pas très honnête !
On peut comprendre qu'un chef d'agence puisse être encombré par les sollicitations des clients mais de là à leur mentir carrément dans le nez !
Je déconseille aux jeunes surtout, ceux qui ont en marre de ces comportements malencontreux qui consiste à mentir au client et faire semblant d' être occupé au téléphone pour le faire attendre au maximum !
Chef d'agence indigne de la CIH.";il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;👎👎👎👎Très très mauvais service, franchement incroyable, wach makathchmouch.la banque ils vous appartient pas, sérieux, votre façon de parler aux clients et de gérer la foule, alwajhyat 3yn bayn.👎👎👎👎 …;il y a 11 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Je suis vraiment déçu , service 0;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"La façon de parler de la dame qui est a la caisse n'est pas bonne
Elle n'est pas professionnelle";il y a 3 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Toujours plein de monde;il y a 6 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Service clientèle nul. 0 star !!;il y a 4 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Service a bon escient;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;ApparaîtreApparaître apparaître apparaître je te redis;il y a 5 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Mauvais service;il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Le pire service client de tous les temps ! très horrible de la part de tous les travailleurs. L’un des caissiers a été extrêmement grossier avec moi et a commencé à me crier dessus simplement parce que je n’avais pas entendu mon tour dans les premières secondes. Elle a encore une fois été extrêmement impolie, elle a dit des choses grossières comme «pourquoi tu es lent» et qu'elle ne semble pas satisfaite de son travail. Attention, c'était le début du quart de travail, donc cela s'est produit vers 9h45 du matin, donc il n'y avait aucun stress sur elle pour justifier son comportement désagréable. Je suis extrêmement déçu par cela et je me demande si je pense que mon argent n'est pas en sécurité et me traite comme s'ils me donnaient de l'argent et non comme si j'utilisais réellement leurs services !  Si bientôt aucune mesure n'est prise face à cette situation, j'envisagerai de changer de banque pour toujours. De plus, les employés n’essayaient pas de m’aider et me forçaient à m’occuper d’elle même si j’étais très mal à l’aise à cause de son comportement à mon égard !;il y a 2 semaines
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;J'ai perdu mon emploi à cause d'eux. Vous devez attendre plusieurs heures à chaque fois pour terminer une procédure simple qui ne nécessite même pas 3 minutes;il y a 6 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Une entreprise en grand échec. J'ai quitté le pays et je souhaite changer de numéro. Personne ne répond à mes emails ni même au numéro de téléphone.;il y a 5 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"J'ai noté les services 5 étoiles au début mais maintenant il est temps de le changer, je lui donnerais 0 si je pouvais. Je suis arrivé 30 minutes plus tôt avant la fermeture deux fois. Dans les deux cas, j'ai été renvoyé car ""il y a trop de personnes"". Comme si c'était mon problème.";il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;L'un des pires services si ce n'était le pire. Aucune coopération et aucune attention aux clients. Le gardien s'immisce dans le travail de l'agent;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;L'horreur elle-même. Mauvais services, pire application jamais créée, pas de réponse aux appels, j'ai un gros problème et personne ne prendrait le problème au sérieux, tout ce qu'ils disent, c'est que nous ne pouvons pas, nous ne pouvons pas, la plate-forme est en panne, je suis désolé, nous n'avons rien à faire pour ça. Comme quoi, bordel ?!;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;La pire banque du Maroc 🤮🤮 …;il y a 2 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Service horrible. Ils mettent tellement de temps pour un service qui peut être effectué en 3 minutes. Je regrette d'être venu ici à chaque fois. Veuillez trouver une solution pour un meilleur service.;il y a 3 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Service no 👎 l'heure du système flacaisse katgoli bloquer bach tssbe9 notre likayssifto liha par whatssap hchoma tkhli les clients itssna 1 heure 3la transaction fiha 2 min bach tssb9 nas likat3ref hia 👎👎👎👎👎👎👎 …;il y a 3 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Je ne recommande pas cette banque, pas de quoi être content ! J'ai essayé de retirer de l'argent de ma carte USD, le bavard dit que nous avons un problème avec ce Gab, puis l'argent est retiré de mon compte ! c'est du vol !;il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Personne ne veut servir qui que ce soit... à moins de connaître quelqu'un !!! Fini avec cette banque.;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Les ressources humaines sont insuffisantes par rapport au nombre énorme de clients;il y a 11 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Très mauvaise expérience juste un conseil changer de banque ou essayer d'aller au centre ville car les employés ne sont pas du tout utiles;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;J'AI DONNÉ 5 ÉTOILES, POUR UN BON SERVICE, J'AI OBTENU UNE CONVERSATION COOL AVEC UN DIRIGEANT DE LA BANQUE;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Les agents ne sont pas qualifiés.
Prestations épouvantables.";il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Bad bank, rien ne sonne bien ! J'attends 2h... Beaucoup de monde;il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;C'est écrit par Western Union mais ça ne marche pas pour eux;il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;TÉCOIN;il y a 2 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Service lent et beaucoup de monde en file d'attente;il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Service Ziro;il y a 5 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Je jure qu'ils ne méritent même pas une étoile 👎👎 …;il y a 6 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Très fréquenté😑 …;il y a 9 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Mauvais service;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Sans entrer dans le sujet...;il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Ou;il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Service zéro..;il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;Bien;il y a 4 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Accueillir,
Nous sommes désolés de n'avoir pas pu répondre à vos attentes.
Nous vous invitons à nous contacter au 4747 ou à reclamations-clients@cihbank.ma, nous ferons de notre mieux pour vous offrir un meilleur service.";il y a 6 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Bonjour,
CIH BANK vous remercie d’avoir partagé votre retour. Au plaisir de vous accueillir à nouveau dans notre succursale.";il y a 7 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Accueillir,
Merci d'avoir partagé votre avis.
Nous serons heureux de vous accueillir dans nos agences.";il y a 8 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Bonjour,
Nous nous excusons de n'avoir pas pu répondre à vos attentes. Veuillez nous contacter au 4747 ou à reclamations-clients@cihbank.ma et nous ferons de notre mieux pour vous offrir un meilleur service.";il y a 10 mois
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Accueillir,
Nous sommes désolés de n'avoir pas pu répondre à vos attentes.
Nous vous invitons à nous contacter au 4747 ou à reclamations-clients@cihbank.ma, nous ferons de notre mieux pour vous offrir un meilleur service.";il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Bonjour,
Nous nous excusons de n'avoir pas pu répondre à vos attentes. Veuillez nous contacter au 4747 ou à reclamations-clients@cihbank.ma et nous ferons de notre mieux pour vous offrir un meilleur service.";il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Bonjour,
Nous sommes navrés que nous n'ayons pas pu répondre à vos attentes. 
Nous vous invitons à nous contacter sur le 4747 ou sur reclamations-clients@cihbank.ma, nous ferons le nécessaire pour vous offrir un meilleur service.";il y a un an
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Bonjour,
Nous sommes navrés que nous n'ayons pas pu répondre à vos attentes. 
Nous vous invitons à nous contacter sur le 4747 ou sur reclamations-clients@cihbank.ma, nous ferons le nécessaire pour vous offrir un meilleur service.";il y a 2 ans
CIH Bank;Agadir;CIH Bank;National Rte 1 Lot Zaitoun, Num A35 District, Agadir 80000;2,0;"Bonjour CIH BANK,
CIH BANK vous remercie d'avoir partagé votre avis.
Au plaisir de vous accueillir une nouvelle fois en agence.";il y a 2 ans
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;Malheureusement, cette agence est inefficace, tout le personnel également. Je ne comprends pas comment le chef d'agence programme des réunions avec la chargée de clientèle de 8h00 à 10h00 du matin, ignorant ainsi la file d'attente des …;il y a un mois
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;"Malgré les anciens avis, mon expérience aujourd’hui a été différente :
Le nouveau directeur est très compréhensif, il aide et explique les choses les plus simples. Pour la première fois, j’ai vraiment l’impression de recevoir un …";il y a 2 mois
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;Le nouveau directeur, M. Amine est particulièrement compétant pour donner des explications, expliquer les produits, faciliter les procédures et ainsi concrétiser, je recommande.;il y a un mois
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;Tres bonne qualite acceuil du directeur;il y a 2 mois
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;Bon service a l’agence bon conseils;il y a 2 mois
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;Bon service chez le nouveau directeur Amine;il y a 2 mois
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;Service nul, chargé clientèle n'est pas compétente , j'ai passé plus que 45 min d'attente;il y a 8 mois
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;Tres bon accueil directeur;il y a un mois
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;La qualité de service clients de vos agences est en chute libre, quelle catastrophe ! Agence Agadir Alhouda pas de clim cette semaine alors qu il fait 40 dégrées? …;il y a un an
CIH Bank;Agadir;CIH Bank - Agence El Houda;Av. Abdellah Guerssifi Lotissement Al Houda Lot 78, Type H, Agadir 80000;2,4;Une étoile car je n'ai pas le choix ! C'est exactement la 12 ème réclamations que je fais à ma banque..j'ai été bloquée par la conseillère qui soit disant s'occupe de mon compte sur l'application. Je suis dans l'incapacité d'effectuer des …;il y a 3 ans
CIH Bank;Agadir;CIH Bank;C9W3+76J, District Anza, Agadir 80000;4,5;Belle acceuille .fonctionniare bien expérementé.;il y a 2 ans
CIH Bank;Agadir;CIH Bank;C9W3+76J, District Anza, Agadir 80000;4,5;Retrait maximum de 2 000 000 .. à Thagazout, vous pouvez trouver un guichet automatique à côté du lieu de location de voitures, vous pouvez retirer 3 000 000 $;il y a 3 mois
CIH Bank;Agadir;CIH Bank;C9W3+76J, District Anza, Agadir 80000;4,5;Facile à 20 minutes à pied du centre-ville d'Anza. Le guichet automatique fonctionne bien;il y a 11 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Je tiens à partager mon expérience avec cet établissement , j'ai dû attendre 3h pour un service très simple. La conseillère a disparu en pause déjeuner pendant 2 heures. L'agent de sécurité très irrespectueux envers les clients, il ferme la porte quand il veut et ne respecte pas les horaires de l'agence. L'agent de la caisse est très irrespectueux et non professionnel et répond en hurlant.
Je suis choqué par le niveau d'incompétence, de désagrément et d'impolitesse que j'ai rencontré dans cette institution.
Si je pouvais, je donnerais même pas une étoile.";il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Agence ou tout le personnel et irresponsable,  le commercial et très très très lent , pas du tout réactif,  le caissier et comme un patron il gueule trop.
Bref une Agence ----------1000%.";il y a 5 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Je tiens à partager mon expérience récente avec cette agence CIH, et malheureusement, ce n'est pas une expérience positive du tout. Mon mari et moi avons été choqués par le niveau d'incompétence, de désagrément et d'impolitesse que nous avons rencontré dans cette institution.

Les membres du personnel avec lesquels nous avons interagi étaient incroyablement désagréables.

Ce qui nous a particulièrement choqués, c'est le comportement raciste d'un conseiller sénior, qui est censé être un modèle d'intégrité et de professionnalisme. C'est totalement inacceptable en 2023. Nous avons été profondément choqués par cette expérience !!

CIH Banque, vous avez du travail à faire pour améliorer votre service à la clientèle et éliminer tout comportement discriminatoire au sein de votre équipe.";il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Guichet versement automatique toujours en panne .
Agent Sécurité non respectueux.";il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"- Les clients ne sont pas du tout respectés et l'heure de fermeture n'est pas respectée
- Je suis arrivé à 3h00 et la sécurité nous a dit d'attendre dehors sans ticket, j'ai attendu avec 8 autres personnes jusqu'à ce qu'ils ferment la banque à 3h45 et quand on s'est plaint de ce mauvais trait le gérant nous a parlé de façon irrespectueuse nous a insulté et nous a claqué la porte au nez
- Je suis client de cette banque depuis 10 ans, et depuis l'arrivée du nouveau directeur de banque, il a causé toute cette corruption, et la relation avec les clients est devenue très mauvaise. Cela s'est produit plusieurs fois.
----
- Customers are not respected at all and closing time is not respected
- I came at 3:00 and security told us to wait outside without a ticket, I waited with 8 other people until they closed the bank at 3:45 and when we complain about this bad trait the manager spoke to us disrespectfully insulted us and slammed the door in our faces
- I have been a customer of this bank for 10 years, and since the new bank manager came, he caused all this corruption, and the relationship with customers has become very bad. This happened many times.";il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Service pourri, service continue sans l’être en réalité. Tous les agents chargés du service client prennent 2 heures de pause dej et s’en foutent des clients qui restent 2 heures entrain d’attendre pour rien.;il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Bonjour très mauvaise agence, ne respecte pas ces clients et même les salairies c est eu qui décident des horaires de fermeture. On m a interdit l accès à 15h30. On me fermant la porte en nez et en m insultant.;il y a 3 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Je vous déconseille d'ouvrir un compte dans cette banque, si vous avez un problème, tout le monde s'en fout et chaque employé rejette la responsabilité sur l'autre ou sur le siège mère à Casablanca, cela fait 4 mois et plus que mon problème persiste et personne n'a fait aucun effort à me trouver une solution,le chef d'agence m'a dit que les responsables ne lui répondent pas, alors si lui qui est un employé souffre de l'absence de communication de sa banque, est-ce qu'ils vont me répondre en tant que client ???!!! C'est pire que l'administration publique marocaine !!!!!!;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Personnel irrespectueux, de l'agent de sécurité au responsable de l agence. Vraiment honteux, le conseiller client qui refuse de nous accueillir pour aller prendre une pause !! Aucun respect envers les clients;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Wahd syad tma boulhya ila refuse de me faire un chagement €€€ Dhs j ai pas de CIN J ai mon passeport il m as dit du n importe qoi j espere que ce message arive aux responsable de la CIH si la police frontiere accepte  nos passeport pourqoi lui je pense il as une maladie mentale qoui sal vieux qon les banques voisins ont accepte a me faire le change c est un probleme de CIH ou ce petit qon moi je....;il y a 3 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Siyed li f la caisse jit ndowaz versement O 3tito passeport galik la khass cin wana daf3ha l police pour renouvellement,gtlih rah passeport c une identité mabghach,ana libghit n3rf wach cih mam3tarfach b passport marocain. Ola dak ssiyed kaydir ligalih rasso hada kayne f agence Hassan 1er agadir;il y a 3 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Cette banque a connue de meilleurs jours. Trop lents et personnels non qualifiés et volatiles.
Edit: c'est pas un service client qu'ils ont, c'est un service communication.";il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Des gens irrespectueux, un service nul.;il y a 3 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Agent de sécurité irrespectueux !!!;il y a 9 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Service trop Lang en dirai dès tortues;il y a 3 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Beaucoup d'attente;il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;bien;il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Service nul;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Dakhla;il y a 5 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;👎👎👎👎👎👎👎 …;il y a 11 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Ila katmchi liha toujours b3d mrat kanbghi khrje floss katsd9 m9to3a compte mn ou makhrjach flwa9i3e katsd9 katsna f chikaya 21 youm;il y a 6 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Manque de respect. On parle aux clients comme si s’était des mendiant. Conseiller en pause de 2h. Agence vente mal entretenue. Chef d'agence en congé de 8semaines !!!!

Manque de respect. Ils nous parlent avec le plus grand manque de respect, comme si nous étions des mendiants et des clients non payants. Personnel en 2h de pause déjeuner !!! Quand nous demandons le directeur, ils disent qu'il ne reviendra qu'en février (j'y étais le 22 décembre)";il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Retard.
Il n'y a qu'un seul employé. L'agence est toujours bondée.  Services médiocres.
Longue attente, cela prend des heures rien que pour déposer.
Négligence des employés.";il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Malheureusement, cette agence est bondée de clients à longueur de journée. Vous devez attendre deux heures et demie avant que votre tour n'arrive
Les relations du responsable de la sécurité avec les clients étaient professionnelles et excellentes.";il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Si je pouvais donner 0, je le ferais, si irrespectueux et grossier, et si lent !!;il y a 5 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Kaysdo w9tma bghaw ( mchaw itghdaw, 3ndo gharad, ... ) + Service 0 & 0 respect.;il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Je n'aimais pas le concierge. Il était un peu méchant et peu professionnel. A part ça, tout le reste va bien.;il y a 3 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Je pense que vous devriez revoir la façon dont vous traitez vos clients;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Très mauvais service et aucun respect pour les clients;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Franchement, comparé aux autres banques, la plupart des gens sont mal traités;il y a 3 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Na9sin;il y a 9 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;SYSTÈME DIMA TAY7 BZFFF LMRD WLH;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Mes salutations pour un système cassé 😂🔥 …;il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Mauvais traitement;il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Il y a du deal mais il y a du monde;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Service 0;il y a un an
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Réinitialisation du Makaynch;il y a 3 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;excellent;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Aucune organisation;il y a 2 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;incroyable;il y a 6 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Bon;il y a 7 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Bien;il y a 8 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Mauvais service.;il y a 5 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;Banque CIH 🏦 😍😍😍 …;il y a 5 ans
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Accueillir,
Merci d'avoir partagé votre avis.
Nous serons heureux de vous accueillir dans nos agences.";il y a 5 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Bonjour,
CIH BANK vous remercie d'avoir partagé votre avis.
Au plaisir de vous accueillir une nouvelle fois en agence.";il y a 9 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Accueillir,
Merci d'avoir partagé votre avis.
Nous serons heureux de vous accueillir dans nos agences.";il y a 11 mois
CIH Bank;Agadir;CIH Bank- Agence Dakhla;1Er, 30 Av. Moulay Hassan I, Agadir 80000;2,3;"Bonjour,
Nous nous excusons de n'avoir pas pu répondre à vos attentes. Veuillez nous contacter au 4747 ou à reclamations-clients@cihbank.ma et nous ferons de notre mieux pour vous offrir un meilleur service.";il y a un an
